eventType,poolType,poolName,amountRaw,amountFormatted,tokenSymbol,tokenDecimals,basisSourceEvent,basisFormula,sourceUser,sourceReferrer,recipientOrBeneficiary,dayId,rank,luckyRank,orderId,block,tx
PoolAllocated,3,Node,80000000000000000000,80.0,USDx5,18,NodePurchased,80000000000000000000 = 1000000000000000000000 * 800/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,,0x744447d8580eb900b199e852c132f626247a36f7,,,,1000000002,7626694,0x8f19aec0a9d4f065ecc67c16c00eee7ff004254217c7116b8b059d2b35d8625b
PoolAllocated,4,Platform,200000000000000000000,200.0,USDx5,18,NodePurchased,200000000000000000000 = 1000000000000000000000 * 2000/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,,0x744447d8580eb900b199e852c132f626247a36f7,,,,1000000002,7626694,0x8f19aec0a9d4f065ecc67c16c00eee7ff004254217c7116b8b059d2b35d8625b
PoolAllocated,5,Leaderboard,20000000000000000000,20.0,USDx5,18,NodePurchased,20000000000000000000 = 1000000000000000000000 * 200/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,,0x744447d8580eb900b199e852c132f626247a36f7,,,,1000000002,7626694,0x8f19aec0a9d4f065ecc67c16c00eee7ff004254217c7116b8b059d2b35d8625b
PoolAllocated,0,Liquidity,1800000000000000000000,1800.0,USDx5,18,SuperNodePurchased,1800000000000000000000 = 3000000000000000000000 * 6000/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,,0x744447d8580eb900b199e852c132f626247a36f7,,,,2000000002,7626709,0xceadae3781461fd09f620e852aca9575c1b27e339c311dada935ac645bedc912
PoolAllocated,1,Referral,150000000000000000000,150.0,USDx5,18,SuperNodePurchased,150000000000000000000 = 3000000000000000000000 * 500/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,,0x744447d8580eb900b199e852c132f626247a36f7,,,,2000000002,7626709,0xceadae3781461fd09f620e852aca9575c1b27e339c311dada935ac645bedc912
PoolAllocated,2,SuperNode,150000000000000000000,150.0,USDx5,18,SuperNodePurchased,150000000000000000000 = 3000000000000000000000 * 500/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,,0x744447d8580eb900b199e852c132f626247a36f7,,,,2000000002,7626709,0xceadae3781461fd09f620e852aca9575c1b27e339c311dada935ac645bedc912
PoolAllocated,3,Node,240000000000000000000,240.0,USDx5,18,SuperNodePurchased,240000000000000000000 = 3000000000000000000000 * 800/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,,0x744447d8580eb900b199e852c132f626247a36f7,,,,2000000002,7626709,0xceadae3781461fd09f620e852aca9575c1b27e339c311dada935ac645bedc912
PoolAllocated,4,Platform,600000000000000000000,600.0,USDx5,18,SuperNodePurchased,600000000000000000000 = 3000000000000000000000 * 2000/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,,0x744447d8580eb900b199e852c132f626247a36f7,,,,2000000002,7626709,0xceadae3781461fd09f620e852aca9575c1b27e339c311dada935ac645bedc912
PoolAllocated,5,Leaderboard,60000000000000000000,60.0,USDx5,18,SuperNodePurchased,60000000000000000000 = 3000000000000000000000 * 200/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,,0x744447d8580eb900b199e852c132f626247a36f7,,,,2000000002,7626709,0xceadae3781461fd09f620e852aca9575c1b27e339c311dada935ac645bedc912
PoolAllocated,0,Liquidity,60000000000000000000,60.0,USDx5,18,MachinePurchased,60000000000000000000 = 100000000000000000000 * 6000/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,6,7630223,0xd2e1247916312e28225e0dbea1cca006b399c1cc15a11a424806d0f332a1f1e5
